culture,gender_c1,gender_c2,gender_c3,observers_c1,observers_c2,observers_c3
Mbuti,2,2,2,2,2,2
Mbuti,2,2,2,2,2,2
Mbuti,2,2,99,2,2,99
Mbuti,2,2,99,2,2,99
Mbuti,2,2,2,2,2,2
Mbuti,99,2,99,99,2,99
Amhara,0,0,2,2,2,2
Ganda,2,2,2,2,2,2
Ganda,2,2,2,2,2,2
Ganda,2,2,2,2,2,2
Maasai,2,2,2,2,2,2
Somali,2,2,2,2,2,2
Somali,99,2,2,99,2,2
Somali,99,99,2,99,99,2
Somali,2,2,2,2,2,2
Somali,2,2,2,2,2,2
Somali,2,2,2,2,2,2
Somali,99,99,99,99,99,99
Somali,2,2,2,2,2,2
Somali,2,2,2,2,2,2
Somali,99,99,99,99,99,99
Bemba,2,2,99,2,2,99
Lozi,2,2,2,2,2,2
Lozi,99,2,99,99,2,99
Akan,2,2,2,2,2,2
Akan,2,2,2,2,2,2
Hausa,99,99,99,99,99,99
Hausa,1,1,1,2,2,2
Hausa,1,1,2,99,2,2
Hausa,2,2,2,2,2,2
Hausa,99,99,2,99,99,2
Hausa,2,2,2,2,2,2
Hausa,1,2,2,1,2,2
Hausa,2,2,2,2,2,2
Hausa,99,99,99,99,99,99
Hausa,99,2,2,99,2,2
Hausa,2,2,2,2,2,2
Hausa,2,99,2,2,99,2
Hausa,0,0,2,99,99,2
Hausa,99,0,99,99,99,99
Hausa,1,1,2,99,99,2
Hausa,99,1,1,99,1,1
Tiv,1,2,2,2,2,2
Tiv,99,99,2,99,99,2
Tiv,99,2,2,2,2,2
Tiv,0,2,0,2,2,2
Tiv,99,99,2,99,99,2
Tiv,0,2,0,2,2,2
Tiv,0,0,0,2,2,2
Tiv,2,2,2,2,2,2
Tiv,99,99,99,99,99,99
Tiv,0,0,2,99,2,2
Tiv,2,2,2,2,2,2
Tiv,2,1,2,2,99,2
Tiv,0,0,0,2,99,2
Tiv,2,2,2,2,2,2
Tiv,2,0,2,2,2,2
Tiv,2,99,2,2,99,2
Tiv,0,0,0,0,99,0
Wolof,99,2,2,2,2,2
Wolof,99,1,2,2,2,2
Wolof,1,0,2,2,2,2
Wolof,1,2,2,1,2,2
Wolof,2,2,2,2,2,2
Wolof,2,2,2,2,2,2
Wolof,2,2,2,2,2,2
Wolof,2,99,2,2,99,2
Wolof,1,1,1,1,1,1
Wolof,2,99,99,2,99,99
Wolof,99,99,99,99,99,99
Wolof,1,1,1,2,2,2
Wolof,1,2,1,2,2,2
Wolof,99,99,99,99,99,99
Wolof,99,1,1,2,2,2
Wolof,2,2,2,2,2,2
Korea,0,0,99,2,99,99
Korea,99,99,99,99,99,99
Korea,2,2,2,2,2,2
Korea,99,2,2,99,2,2
Korea,2,2,2,2,2,2
Korea,2,2,2,2,2,2
Andamans,2,2,2,2,2,2
Andamans,99,99,99,99,99,99
Andamans,2,2,2,2,2,2
Andamans,2,2,2,2,2,2
Garo,99,99,2,99,99,2
Garo,99,0,99,99,2,99
Santal,1,1,1,2,99,2
Santal,99,2,99,99,2,99
Santal,1,1,1,2,2,2
Santal,2,2,2,2,2,2
Santal,0,0,0,2,99,2
Santal,0,0,2,2,99,2
Santal,1,1,1,2,2,2
Santal,1,1,1,2,99,2
Santal,1,1,99,2,2,99
Santal,1,1,1,2,99,2
Santal,1,1,1,2,2,2
Santal,1,1,1,2,2,2
Santal,1,1,2,2,2,2
Santal,99,99,2,99,99,2
Santal,0,0,0,2,99,2
Santal,1,1,1,2,2,2
Santal,0,0,2,2,99,2
Santal,2,1,1,2,2,2
Santal,2,0,2,2,2,2
Santal,2,99,2,2,99,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,99,2,99,99,2,99
Santal,99,99,99,99,99,99
Santal,2,2,2,2,2,2
Santal,2,2,2,2,0,2
Santal,2,2,2,2,2,2
Santal,99,0,99,99,2,99
Santal,99,2,1,2,2,2
Santal,2,2,2,2,2,2
Santal,99,2,2,99,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,99,99,99,99,99,99
Santal,99,2,99,99,2,99
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,1,2,1,2,2,2
Santal,1,1,2,2,2,2
Santal,0,0,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,99,99,2,99,99,2
Santal,2,2,2,2,2,2
Santal,99,99,99,99,99,99
Santal,2,0,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,0,2,2,2,2
Santal,99,99,99,99,99,99
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Santal,2,2,2,2,2,2
Central Thai,2,2,2,2,2,2
Eastern Toraja,2,2,2,2,2,2
Eastern Toraja,99,2,99,99,2,99
Eastern Toraja,2,0,2,2,2,2
Iban,2,2,0,2,2,2
Iban,99,2,0,99,2,2
Ifugao,1,1,1,2,99,2
Ifugao,99,99,99,2,99,99
Ifugao,99,99,2,99,99,2
Ifugao,0,0,0,99,99,0
Ifugao,0,0,99,2,99,99
Ifugao,0,0,0,2,99,2
Ifugao,0,0,0,2,99,2
Ifugao,99,99,99,99,99,99
Ifugao,0,0,0,2,99,2
Ifugao,0,0,0,2,99,0
Ifugao,0,0,0,2,2,2
Ifugao,0,99,99,2,99,99
Ifugao,0,0,0,2,99,99
Ifugao,0,0,99,2,99,99
Ifugao,0,0,0,2,99,99
Ifugao,0,99,99,2,99,99
Ifugao,0,99,0,2,99,99
Ifugao,0,99,99,2,99,99
Ifugao,0,99,0,2,99,2
Ifugao,0,99,99,2,99,99
Ifugao,0,99,99,2,99,99
Ifugao,0,99,99,2,99,99
Ifugao,0,99,99,2,99,99
Ifugao,2,2,2,2,2,2
Ifugao,2,2,2,2,2,2
Saami,2,1,2,2,2,2
Saami,2,2,2,2,2,2
Saami,2,99,2,2,99,2
Saami,99,2,99,99,2,99
Saami,2,2,2,2,2,2
Saami,2,2,2,2,2,2
Kuna,2,2,2,2,2,2
Kuna,0,0,0,0,0,0
Kuna,2,2,2,2,2,2
Kuna,2,2,2,2,2,2
Kuna,2,2,2,2,2,2
Kuna,2,2,2,2,2,99
Kuna,99,0,99,99,99,99
Kuna,0,0,0,2,2,2
Kuna,0,0,0,2,2,2
Kurds,2,2,2,2,2,2
Kurds,2,2,2,2,2,2
Kurds,2,2,2,2,2,2
Kurds,2,2,2,2,2,2
Kurds,1,1,1,2,2,2
Kurds,2,2,2,2,2,2
Kurds,0,0,0,0,0,0
Kurds,0,0,0,0,0,0
Kurds,0,0,0,0,0,0
Kurds,0,0,0,0,0,99
Kurds,99,2,2,99,2,2
Kurds,2,2,2,2,2,2
Kurds,2,2,2,2,2,2
Minnesota Ojibwa,99,99,99,99,99,99
Eastern Ojibwa,99,99,99,99,99,99
Round Lake Ojibwa,99,99,99,99,99,99
North Albany Ojibwa,2,2,2,2,2,2
Klamath,99,99,99,99,99,99
Klamath,99,1,99,99,99,99
Klamath,99,0,99,99,99,99
Kapauku,99,99,99,99,99,99
Trobriands,99,99,99,99,99,99
Tikopia,99,99,99,99,99,99
Tikopia,99,2,99,99,2,99
Tikopia,2,2,0,2,2,2
Tikopia,99,99,99,99,99,99
Tikopia,99,99,99,99,99,99
Saramaka,2,2,99,2,2,99
Saramaka,2,2,2,2,2,2
Saramaka,2,2,2,2,2,2
Saramaka,99,99,99,99,99,99
Tukano,0,0,99,2,2,99
Tukano,99,99,99,99,99,99
Tukano,0,99,99,2,99,99
Tukano,99,99,99,99,99,99
Tukano,0,99,99,2,99,99
Aymara,2,2,1,2,2,2
Aymara,99,99,99,99,99,99
Aymara,2,2,2,2,2,2
Aymara,2,99,2,2,99,2
Aymara,2,2,2,2,2,2
Aymara,2,2,2,2,2,2
Aymara,2,2,2,2,2,2
Aymara,2,2,2,2,2,2
Aymara,0,0,0,2,0,0
Aymara,99,99,2,99,99,2
Aymara,2,99,2,2,99,2
Aymara,2,2,2,2,2,2
Aymara,99,99,99,99,99,99
Aymara,2,2,2,2,2,2
Aymara,2,2,2,2,2,2
Aymara,2,2,2,2,2,2
Aymara,2,2,2,2,2,2
Guaraní,99,99,2,99,99,2
Guaraní,2,99,2,2,99,2
Guaraní,2,2,2,2,2,2
Guaraní,2,2,2,2,2,2